Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1KGWevakZQ2l3MPNL5qf8U,"Hourglass","Dune Days","Lawrence Walther;Recalibration Machine;Less Gravity",2023-09-07,101635,21,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.726,0.425,7,-10.84,1,0.0541,0.626,0.916,0.38,0.372,120.014,4
spotify:track:1JKsqzaEBudVdvGeju3Isj,"Along The Path","The Realization","Kinissue;affogato.wav",2023-09-11,133629,39,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.458,0.291,3,-17.511,0,0.0449,0.799,0.868,0.113,0.107,154.08,4
spotify:track:5XEVBQLx2xReQQrRzRly4j,"Wicked Thoughts","The Realization","Kinissue;Tibeauthetraveler",2023-09-11,146426,32,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.489,0.248,0,-17.49,0,0.0299,0.931,0.874,0.0895,0.11,85.047,4
spotify:track:5ozha6njRgWr6mnkwh7GHL,"Emotions","Dune Days","Lawrence Walther;Recalibration Machine;Less Gravity",2023-09-07,132260,38,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.383,0.235,9,-17.48,1,0.0427,0.816,0.904,0.109,0.0968,60.061,4
spotify:track:7yt2PMTWJc5BzYprPh0pg8,"Farewell","The Realization","Kinissue",2023-09-11,166533,42,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.258,0.224,10,-17.477,0,0.0483,0.887,0.943,0.118,0.13,72.187,4
spotify:track:5apq3wUPv0B3um7GqpB0s4,"Illuminate","The Realization","Kinissue;Mindeliq",2023-09-11,185884,40,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.526,0.318,7,-14.262,0,0.0319,0.934,0.907,0.112,0.433,140.013,3
spotify:track:1YvtXZo6ZeqtgnAwZuQYUL,"Pará Eidos","The Legend Of Orpheus","Dimension 32;l'Outlander",2023-09-18,135250,21,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.619,0.456,7,-11.5,0,0.0296,0.608,0.924,0.102,0.144,136.045,4
spotify:track:3lxVvy35kyaYsmrrUldt6f,"Soft Spot","Dune Days","Lawrence Walther;Recalibration Machine;Less Gravity",2023-09-07,123522,39,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.686,0.177,4,-15.468,0,0.0344,0.945,0.872,0.197,0.133,109.892,4
spotify:track:3fUrXJWBRHb4THonvYXa4F,"Far From Here","The Realization","Kinissue;Umbriel",2023-09-11,154732,24,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.526,0.206,3,-18.017,0,0.0281,0.96,0.902,0.0944,0.178,126.068,4
spotify:track:7mDZi08pTwwD6MAQV6bJvw,"No Answer","The Realization","Kinissue;Umiar",2023-09-11,175714,17,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.631,0.412,8,-17.512,1,0.047,0.854,0.901,0.186,0.163,140.084,4
spotify:track:0YAz3IY3Ae1pkyqKyIJJl0,"Remembering The Past","The Realization","Kinissue;Prithvi",2023-09-11,148197,27,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.492,0.252,7,-16.632,0,0.0313,0.899,0.908,0.158,0.112,75.021,4
spotify:track:5MiTh3kSPfic1l0WWppQEr,"Sand Cottage","Dune Days","Lawrence Walther;Recalibration Machine;Less Gravity",2023-09-07,205885,50,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.617,0.305,4,-13.09,1,0.0302,0.822,0.881,0.0919,0.115,120.042,4
spotify:track:5pOIaubATM8uUNJaME1TEV,"Atmosphere","Dune Days","Lawrence Walther;Recalibration Machine;Less Gravity",2023-09-07,132260,41,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.583,0.198,4,-14.949,0,0.0287,0.664,0.913,0.11,0.0977,60.031,4
spotify:track:6ogN1ORjW1aofvAoZ9Fh7o,"Palm Winters","The Realization","Kinissue;Umiar",2023-09-11,123970,23,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.502,0.268,11,-18.439,0,0.0351,0.812,0.849,0.284,0.0819,135.979,4
spotify:track:1xYBDCComkNeNQq3vFTPM9,"Sacrifice","The Realization","Kinissue",2023-09-11,160588,48,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop","Lofi Records",0.493,0.361,0,-14.279,0,0.0336,0.891,0.909,0.276,0.19,136.068,4
spotify:track:4lmR9fgYd7DGylRMN752xl,"Orpheus","The Legend Of Orpheus","Dimension 32",2023-09-18,154000,32,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.677,0.353,2,-9.962,0,0.0269,0.518,0.73,0.346,0.0567,125.909,4
spotify:track:3R35fxrLJCSXlj7bZgch90,"A Myth Underground","The Legend Of Orpheus","Dimension 32;Quantum Break",2023-09-18,156500,39,false,darkqwacker,2026-02-15T18:17:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lofi Records",0.593,0.275,7,-12.952,0,0.0275,0.552,0.903,0.364,0.034,130.058,4
